,Unnamed: 0,id,price,heading,link,make,model,odometer_km,year,colour,location,engine_power_max_kW,engine_size_l,engine_fuel_type,engine_fuel_tank_l,engine_transmission,performace_0_to_100_s,performace_speed_max_kmph,economy_fuel_consumption_lpkm,economy_fuel_range_km,economy_CO2_gpkm,safety_ABS,safety_EBD,safety_brake_assist,safety_driver_airbag,safety_passenger_airbag,safety_airbag_quantity,features_bluetooth,features_aircon,specs_doors,specs_seats,specs_kerb_weight,history_num_owners,options,description,img_link
10,23,23,107950.0,2012 Toyota Etios 1.5 Xs 5dr for sale  in Western Cape,www.cars.co.za/for-sale/used/2012-Toyota-Etios-1.5-Xs-5dr-Western-Cape-Plumstead/5372193/,toyota,toyota etios,79000.0,2012.0,silver blue ,western cape,66.0,1.5,p,45.0,m,11.3,165.0,6.0,750.0,138.0,True,True,False,True,True,2.0,False,True,5.0,5.0,920.0,,"
ABS, Air bags, Aircon, Electric Windows, Full service record, Alarm, Radio ",Low kms Full service history with toyota,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5372193.jpg?v=1902796000
11,24,24,109900.0,2013 Volkswagen Polo Vivo 1.4 5Dr for sale in Western Cape,www.cars.co.za/for-sale/used/2013-Volkswagen-Polo-Vivo-1.4-5Dr-Western-Cape-Cape-Town/5119381/,volkswagen,volkswagen polo vivo,114289.0,2013.0,silver,western cape,55.0,1.4,p,45.0,m,12.9,171.0,6.2,726.0,147.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1049.0,,"
Air Conditioner , Airbags , Power Steering , Electrical Window(front) , Central Locking , Alloy Wheels , USB Port , Bluetooth Enabled , Height adjustable steering , CD/Radio , Anti-Lock Braking System , Manual Windows , Rev Counter , Cloth Seats ","Estimated monthly payment is R 2 250 over 60 months with a 10% deposit of R 10 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5119381.jpg?v=3956945137
12,28,28,109900.0,2013 Peugeot 207 1.4 Vvt Active for sale in Western Cape,www.cars.co.za/for-sale/used/2013-Peugeot-207-1.4-Vvt-Active-Western-Cape-George/5189963/,peugeot,peugeot 207,80000.0,2013.0,silver,western cape,70.0,1.4,p,50.0,m,12.1,185.0,5.8,862.0,135.0,True,True,True,True,True,4.0,False,True,5.0,5.0,1157.0,,"
ABS, Aircon, Electric Windows, Air bags, Full service record, Radio ","JUST ARRIVE!!!Carpointe- At Tavcor George we believe in first class customer service. All our Vehicles undergo a 80 Point Mechanical Check, AA Roadworthy Test and is Accident free unless advertised as otherwise. We do accept trade-ins of all Makes and Models. We have dedicated Finance Managers that can arrange finance for you should you want to finance the vehicle. We also offer Value Added Products like Service and Warranty Plan Extensions. We deliver Nationwide and charge a delivery fee depending on the distance of delivery. Price advertised excludes: Dealer Service Fee of R4000, Lic /Reg of R781, Number plates of R400. The Vehicle you see Today and want to inquire about Tomorrow, might be inquired about Today and be gone Tomorrow!!",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5189963.jpg?v=3456681360
13,31,31,109900.0,2014 Renault Sandero 900 T Dynamique for sale in Western Cape,www.cars.co.za/for-sale/used/2014-Renault-Sandero-900-T-Dynamique-Western-Cape-Claremont/5350373/,renault,renault sandero,68000.0,2014.0,black,western cape,66.0,0.9,p,50.0,m,11.1,175.0,5.2,962.0,119.0,True,True,True,True,True,4.0,True,True,5.0,5.0,962.0,,"
-
",,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5350373.jpg?v=4207621996
14,32,32,109900.0,2015 Nissan Micra 1.2 Visia+ Insync 5dr (d86v) for sale in Western Cape,www.cars.co.za/for-sale/used/2015-Nissan-Micra-1.2-Visia-Insync-5dr-d86v-Western-Cape-Bellville/5376007/,nissan,nissan micra,40000.0,2015.0,silver,western cape,56.0,1.2,p,41.0,m,13.2,166.0,5.2,789.0,124.0,True,True,True,True,True,4.0,False,True,5.0,5.0,909.0,,"
Full service record, Aircon, Alarm, Air bags, Electric Windows, Radio ","Estimated monthly payment is R 2 250 over 60 months with a 10% deposit of R 10 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5376007.jpg?v=2817186099
15,34,34,109900.0,2016 Chevrolet Spark 1.2 Ls 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2016-Chevrolet-Spark-1.2-Ls-5dr-Western-Cape-Paarl/5413667/,chevrolet,chevrolet spark,69200.0,2016.0,silver ,western cape,60.0,1.2,p,35.0,m,13.3,164.0,5.4,648.0,129.0,True,True,False,True,True,2.0,True,True,5.0,4.0,970.0,,"
-
","Balance of Factory Warranty, Service History, Aircon, Power Steering, Electric Windows + Mirrors, Radio/CD/Auc/USB, Central Locking, Bluetooth, Low Mileage. Finance available and trade ins welcome. For more information, Contact: Jerome 082 3999 095 or Pieter 082 577 1761. Visit our website for more quality pre-owned vehicles at www.autodrome.co.za or follow us on Facebook https://www.facebook.com/AutodromePaarlWC/ Private to private finance also available at our dealership. For any queries regarding private finance, Contact: Juanita 021 872 9554.",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5413667.jpg?v=4119343952
16,36,36,109900.0,2015 Renault Sandero 900T Dynamique Manual for sale in Western Cape,www.cars.co.za/for-sale/used/2015-Renault-Sandero-900T-Dynamique-Manual-Western-Cape-Milnerton/5435551/,renault,renault sandero,53000.0,2015.0,silver,western cape,66.0,0.9,p,50.0,m,11.1,175.0,5.2,962.0,119.0,True,True,True,True,True,4.0,True,True,5.0,5.0,962.0,,"
-
","We are so confident in the quality of this car, we offer a 7-day/700km return policy; Vehicle features include: Warranty: 23 November 2020 or 150 000km / Last Service: 4 April 2019 on 44 823km / Auxiliary / Bluetooth / Smash & Grab / Fog Lights Front & Rear / 15” Alloys // getWorth certified; finance available; nationwide delivery; Trade-ins welcome; price excludes service & delivery fee; please make an appointment to view.",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5435551.jpg?v=2279963994
17,37,37,109900.0,2018 Datsun Go 1.2 LUX (AB) for sale in Western Cape,www.cars.co.za/for-sale/used/2018-Datsun-Go-1.2-LUX-AB-Western-Cape-Cape-Town/5437663/,datsun,datsun go,15174.0,2018.0,titanium grey,western cape,50.0,1.2,p,35.0,m,13.3,161.0,5.2,673.0,123.0,False,False,False,True,False,1.0,False,True,5.0,5.0,788.0,,"
Used 2018 Datsun Go 1.2 Lux, 5door hatch, titanium grey, 15174 km, 1198 cc engine, 50 kW. br /br /. Standard features power steering, aircon, AUX input, USB port. ","Estimated monthly payment is R 2 250 over 60 months with a 10% deposit of R 10 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5437663.jpg?v=1858287517
18,38,38,109900.0,2013 Ford Fiesta 1.4 Ambiente 5-Door for sale in Western Cape,www.cars.co.za/for-sale/used/2013-Ford-Fiesta-1.4-Ambiente-5-Door-Western-Cape-Kuils-River/5447160/,ford,ford fiesta,107150.0,2013.0,silver,western cape,71.0,1.4,p,42.0,m,12.2,175.0,5.7,737.0,130.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1110.0,,"
-
","At WINGFIELD MOTORS our customers is king!Before delivery, this vehicle will receive a Multi-point quality inspection before being subjected to an AA DEKRA roadworthiness test. We will trade in any vehicle on this transaction and ensure you receive a pleasant buying experience. Finance and Insurance can be arranged from our premises by our highly qualified and experienced staff. You can be assured of great aftersales service, should this be required. This vehicle can be delivered country wide at an agreed cost. Please ask about our optional mechanical breakdown insurance for your new vehicle. We also provide optional service plans to ensure you do not experience sudden servicing costs.Submit an enquiry on this vehicle NOW !!",
19,43,43,109950.0,2015 Honda Brio 1.2 Comfort for sale  in Western Cape,www.cars.co.za/for-sale/used/2015-Honda-Brio-1.2-Comfort-Western-Cape-Vredenburg/5310421/,honda,honda brio,89900.0,2015.0,silver,western cape,65.0,1.2,p,35.0,m,12.1,,5.6,625.0,133.0,True,True,False,True,True,2.0,True,True,5.0,5.0,906.0,,"
Air Conditioner; Power Steering; Central Locking; Electric Windows ","Estimated monthly payment is R 2 250 over 60 months with a 10% deposit of R 11 000
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5310421.jpg?v=589040918
20,44,44,109950.0,2014 Toyota Etios 1.5 Xs 5dr for sale  in Western Cape,www.cars.co.za/for-sale/used/2014-Toyota-Etios-1.5-Xs-5dr-Western-Cape-Vredenburg/5310427/,toyota,toyota etios,125485.0,2014.0,black,western cape,66.0,1.5,p,45.0,m,11.3,165.0,6.0,750.0,138.0,True,True,False,True,True,2.0,False,True,5.0,5.0,920.0,,"
Air Conditioner; Central Locking; Electric Windows; Power Steering; Radio/CD ","Estimated monthly payment is R 2 250 over 60 months with a 10% deposit of R 11 000
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5310427.jpg?v=3397363747
21,51,51,109990.0,2014 Nissan Micra 1.2 Visia+ Insync 5dr (d86v) for sale in Western Cape,www.cars.co.za/for-sale/used/2014-Nissan-Micra-1.2-Visia-Insync-5dr-d86v-Western-Cape-Worcester/5446984/,nissan,nissan micra,90000.0,2014.0,silver,western cape,56.0,1.2,p,41.0,m,13.2,166.0,5.2,789.0,124.0,True,True,True,True,True,4.0,False,True,5.0,5.0,909.0,,"
Electric Windows, Air bags, Radio ",2014 NISSAN MICRA 1.2 VISIA FINANCING AVAILABLE AT ALL MAJOR BANKSCONTACT HENRY ON 0615022879,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5446984.jpg?v=1877242872
22,53,53,109995.0,2014 Chevrolet Spark 1.2 Ls 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2014-Chevrolet-Spark-1.2-Ls-5dr-Western-Cape-Goodwood/4521113/,chevrolet,chevrolet spark,43471.0,2014.0,silver,western cape,60.0,1.2,p,35.0,m,13.3,164.0,5.4,648.0,129.0,True,True,False,True,True,2.0,True,True,5.0,4.0,970.0,,"
-
","This 2014 Chevrolet Spark 1.2 LS 5DR can be yours for as little as R2250 per month!!!This is the perfect vehicle for city living. Features such as Power steeirng , Electric windows, Aircon, ABS Breaking , PDC sensors, Alloy Rims , Multi functional steering wheel and so much more.Please contact one of our sales consultants to book a test drive or arrange a viewing:Richard Horne 0737308305Armand Scholtz 0718630572Keith Thomas 0765872487Randal Smith 07268542870861288634 or whatsupp Jan on 0725713573 for more information.We accept trade-ins and can arrange finance with all the major banks.A 2 year warranty is available and can be added to the finance for around R180 per month.Please contact one of our sales consultants for a test drive on 0861 288 634 or whatsupp Jan on 0725713573. Warranties available by Warranty Wise, underwritten by Mutual and Federal and administrated by Motorvaps.Visit us at www.bargainauto.co.zaFor finance options www.bargainfinance.co.za Warranties available by Warranty Wise, underwritten by Mutual and Federal and administrated by Motorvaps",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/4521113.jpg?v=331882207
23,55,55,109995.0,2013 Opel Corsa 1.4 Essentia 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2013-Opel-Corsa-1.4-Essentia-5dr-Western-Cape-Goodwood/4862673/,opel,opel corsa,132000.0,2013.0,grey,western cape,74.0,1.4,p,45.0,m,12.4,173.0,5.8,776.0,136.0,True,True,True,True,True,2.0,True,True,5.0,5.0,1130.0,,"
ABS, Aircon, Air bags, Alarm, Radio ","Accident free and original, great all round condition. Body is good, interior is neat and clean. Tyres are great with lovely mag wheels.Vehicle has lots of luxury and comfort like 5 speed manual, mult-function steering wheel, electric windows, electric mirrors, power steering, factory fitted radio/cd player, air con, air bags, cloth interior, aux input..LOADS OF VALUE FOR YOUR MONEY.Trade-ins welcome.. * Finance available at all major banks.",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/4862673.jpg?v=1841146596
24,56,56,109995.0,2014 Toyota Etios 1.5 Xs 5dr for sale  in Western Cape,www.cars.co.za/for-sale/used/2014-Toyota-Etios-1.5-Xs-5dr-Western-Cape-Parow/4937572/,toyota,toyota etios,142755.0,2014.0,silver,western cape,66.0,1.5,p,45.0,m,11.3,165.0,6.0,750.0,138.0,True,True,False,True,True,2.0,False,True,5.0,5.0,920.0,,"
4x2,ABS Brakes,Air Conditioning,Alarm,Central Locking,Drink Holder,Front Electric Windows,Front Wheel Drive,Full Spare Wheel,Manual,Power Steering,Radio ","Roadworthy given, Accident Free, Well looked after, Clean Vehicle, Full service history, Trade in Welcome, Finance at all major banks, For best deals or discounts, Please contact: Cape Bakkie Centre on (021) 939 2177",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/4937572.jpg?v=3128882231
25,61,61,109995.0,2013 Hyundai i20 1.2 Motion for sale  in Western Cape,www.cars.co.za/for-sale/used/2013-Hyundai-i20-1.2-Motion-Western-Cape-Claremont/5278495/,hyundai,hyundai i20,156700.0,2013.0,black,western cape,64.0,1.2,p,45.0,m,12.7,168.0,5.6,804.0,128.0,True,True,False,True,True,2.0,False,True,5.0,5.0,970.0,,"
-
",,https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5278495.jpg?v=4232839544
26,64,64,109995.0,2013 Volkswagen Polo Vivo 1.6 Gt 3dr for sale in Western Cape,www.cars.co.za/for-sale/used/2013-Volkswagen-Polo-Vivo-1.6-Gt-3dr-Western-Cape-Paarl/5367245/,volkswagen,volkswagen polo vivo,155000.0,2013.0,silver,western cape,77.0,1.6,p,45.0,m,10.6,187.0,6.6,682.0,157.0,True,True,False,True,True,2.0,True,True,3.0,5.0,1089.0,,"
Air Conditioner, Alarm/Immobiliser, Alloy Wheels, Bluetooth, Central Locking, Electric Windows, Metallic Paint, Power Steering, Radio CD. Optional
5 in 1
smash and grab
warranty extension
service plan extension
80 Point check done on vehicle
roadworthy done on vehicle
finance can be arranged
trade-ins welcome
1 of VW Golden circle mastercars departments winners ","Estimated monthly payment is R 2 250 over 60 months with a 10% deposit of R 11 000
at a rate of 13% (PRIME + 3%) -
Recalculate?",
27,69,69,109995.0,2013 Toyota Etios 1.5 Xs 5dr for sale in Western Cape,www.cars.co.za/for-sale/used/2013-Toyota-Etios-1.5-Xs-5dr-Western-Cape-Table-View/5452342/,toyota,toyota etios,55000.0,2013.0,silver,western cape,66.0,1.5,p,45.0,m,11.3,165.0,6.0,750.0,138.0,True,True,False,True,True,2.0,False,True,5.0,5.0,920.0,,"
ABS ","Thank you for taking the time to view our vehicle * Contact us FOR THE BEST VEHICLE DEAL EVER * Finance available and trade ins are welcome * We deal with all the major banks and same day delivery is possible * Nationwide Delivery Available * Excluding on the road costs * Admin, delivery, registration and vehicle licence fees",https://www.cars.co.za/images/noimagelarge.jpg
28,73,73,110600.0,2016 Opel Corsa 1.0T Essentia 5-Door for sale in Western Cape,www.cars.co.za/for-sale/used/2016-Opel-Corsa-1.0T-Essentia-5-Door-Western-Cape-Goodwood/5094996/,opel,opel corsa,95000.0,2016.0,grey,western cape,85.0,1.0,p,45.0,m,10.3,195.0,5.0,900.0,117.0,True,True,True,True,True,6.0,True,True,5.0,5.0,1220.0,,"
Full Service History ",WELL LOOKED AFTER PRE-OWNED VEHICLE!Remainder of Warranty 5yrs/120 000 Full Service History & Spare KeyVehicle Location: (Free State)TRADE-IN'S Welcome!NATIONWIDE Delivery!FINANCE available through all Major Banks! OPTIONAL: Extended Warranty/ Service Plan/ Competitive Comprehensive Insurance!PLEASE NOTE: The Selling Price does not include Administration Fees & License & Reg FeesINTERESTED IN THIS VEHICLE?Best Price For My Car 021 976 3399Jacques Rhode 084 624 9074 | Warren Lawson 082 925 7863 | Chris Johnson 073 996 6453 | Charl Du Preez 084 296 0551 | Lau Fullard 074 432 8610 | Casper Badenhorst 076 951 7962,
29,74,74,109995.0,2016 Nissan Micra 1.2 Visia+ Insync 5dr (d86v) for sale in Western Cape,www.cars.co.za/for-sale/used/2016-Nissan-Micra-1.2-Visia-Insync-5dr-d86v-Western-Cape-Malmesbury/4678789/,nissan,nissan micra,50000.0,2016.0,silver,western cape,56.0,1.2,p,41.0,m,13.2,166.0,5.2,789.0,124.0,True,True,True,True,True,4.0,False,True,5.0,5.0,909.0,,"
114 Point Mechanical Check, 100% Peace Of Mind, Perfect City Car, Very Low KM's, Bluetooth Connectivity, Multiple Airbags, Touch Screen Radio, Powersteering, USB Port, Service Plan Optional Extra, Extended Warranty Optional Extra, We Deliver Country Wide, Very Economical Vehicle ","Estimated monthly payment is R 2 250 over 60 months with a 10% deposit of R 11 000
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/4678789.jpg?v=2592919950
30,78,78,109900.0,2016 Honda Brio 1.2 Comfort Manual for sale in Western Cape,www.cars.co.za/for-sale/used/2016-Honda-Brio-1.2-Comfort-Manual-Western-Cape-Milnerton/5057968/,honda,honda brio,64000.0,2016.0,silver,western cape,65.0,1.2,p,35.0,m,12.1,,5.6,625.0,133.0,True,True,False,True,True,2.0,True,True,5.0,5.0,906.0,,"
-
","We are so confident in the quality of this car, we offer a 7-day/700km return policy; Vehicle features include: Last Service: 23-02-2019 on 59 725km / 14” Alloys / Auxiliary // getWorth certified; finance available; nationwide delivery; Trade-ins welcome; price excludes service & delivery fee; please make an appointment to view.",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5057968.jpg?v=552802073
31,88,88,114950.0,2015 Renault Sandero 900 T expression for sale in Western Cape,www.cars.co.za/for-sale/used/2015-Renault-Sandero-900-T-expression-Western-Cape-Vredenburg/5197273/,renault,renault sandero,88000.0,2015.0,silver,western cape,66.0,0.9,p,50.0,m,11.1,169.0,5.2,962.0,119.0,True,True,True,True,True,2.0,True,True,5.0,5.0,1046.0,,"
Air Conditioner; Power Steering; Radio/CD; Central Locking; Electric Windows ","Estimated monthly payment is R 2 350 over 60 months with a 10% deposit of R 11 500
at a rate of 13% (PRIME + 3%) -
Recalculate?",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5197273.jpg?v=1418147518
32,95,95,115000.0,2014 Toyota Etios Cross 1.5 Xs 5Dr for sale in Western Cape,www.cars.co.za/for-sale/used/2014-Toyota-Etios-Cross-1.5-Xs-5Dr-Western-Cape-Durbanville/5438769/,toyota,toyota etios,87000.0,2014.0,grey,western cape,66.0,1.5,p,45.0,m,11.3,165.0,6.0,750.0,138.0,True,True,False,True,True,2.0,True,True,5.0,5.0,925.0,,"
-
","Only 87 000kms with full agents service history. Beautifullylooked after vehcile. Accident-free. This is the Cross version. Spare keysRAdio/CD/Bleutooth SystemAirconditioner, PowersteeringPrice: R115 000 (Trade-ins are welcome and we arrange Wesbank Finance)Contact Jaco on 082 570 6220",https://img-ik.cars.co.za/carsimages/tr:n-stock_med/5438769.jpg?v=3191054337
