,id,price,heading,link,make,model,odometer_km,year,colour,location,doors,fuel_consumption_lpkm,engine_power_max_kW,engine_size_l,engine_fuel_type,engine_fuel_tank_l,engine_transmission,performace_0_to_100_s,performace_speed_max_kmph,economy_fuel_consumption_lpkm,economy_fuel_range_km,economy_CO2_gpkm,safety_ABS,safety_EBD,safety_brake_assist,safety_driver_airbag,safety_passenger_airbag,safety_airbag_quantity,features_bluetooth,features_aircon,specs_doors,specs_seats,specs_kerb_weight,history_num_owners,options,description,img_link
16,16,69900.0,2006 Smart Forfour 1.5 Passion for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2006-Smart-Forfour-1.5-Passion-Western-Cape-Paarl/5412967/"">
Smart Forfour 1.5 Passion </a>",Smart,Smart Forfour,105000.0,2006.0,silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"Nationwide delivery can be arranged. All trade ins are welcomed. We can arrange FINANCE, We are approved with all major banks. All we need is: * 3x Latest payslips, * Latest month bank statement, * Copy of ID, * Copy of Drivers License, * Proof of Residential address(not older than 3 months).",
17,17,69900.0,2004 Volkswagen Polo 1.6 Comfortline for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2004-Volkswagen-Polo-1.6-Comfortline-Western-Cape-Kuils-River/5436123/"">
Volkswagen Polo 1.6 Comfortline </a>",Volkswagen,Volkswagen Polo,229000.0,2004.0,black,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,,
18,18,69900.0,2010 Chevrolet Spark 1.2 Ls 5dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2010-Chevrolet-Spark-1.2-Ls-5dr-Western-Cape-Malmesbury/5446698/"">
Chevrolet Spark 1.2 Ls 5dr </a>",Chevrolet,Chevrolet Spark,80690.0,2010.0,silver,western cape,,,60.0,1.2,p,35.0,m,,164.0,5.4,648.0,129.0,True,True,False,True,True,2.0,False,True,5.0,4.0,970.0,,,,
19,19,69900.0,2010 Hyundai Atos 1.1 Gls for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2010-Hyundai-Atos-1.1-Gls-Western-Cape-Somerset-West/5447776/"">
Hyundai Atos 1.1 Gls </a>",Hyundai,Hyundai Atos,75000.0,2010.0,silver,western cape,,,45.0,1.1,p,35.0,m,,147.0,6.2,565.0,147.0,False,False,False,False,False,,False,True,5.0,4.0,797.0,,,Peace of mind with a ROLA certified mechanical check / Nationwide delivery / Finance Available / Trade-ins welcome / Price excludes Service and Delivery Fees,
20,20,105000.0,2018 TATA Indica Vista 1.4 Ignis for sale in Western Cape,"<a class=""vehicle-list__vehicle-name vehicle-list__vehicle-name_featured"" href=""/for-sale/used/2018-TATA-Indica-Vista-1.4-Ignis-Western-Cape-Goodwood/4878159/"">
TATA Indica Vista 1.4 Ignis </a>",TATA,TATA Indica,17250.0,2018.0,black,western cape,,,66.0,1.4,p,44.0,m,,155.0,6.7,657.0,157.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1055.0,,,"WELL LOOKED AFTER ONE OWNER VEHICLE! SERVICE PLAN 3YEARS/75000KM, SPARE KEYVehicle Location: (Western Cape)TRADE-IN'S Welcome!NATIONWIDE Delivery!FINANCE available through all Major Banks! OPTIONAL: Extended Warranty/ Service Plan/ Competitive Comprehensive Insurance!PLEASE NOTE: The Selling Price does not include Administration Fees & License & Reg FeesINTERESTED IN THIS VEHICLE?Best Price For My Car 021 976 3399Warren Lawson 082 925 7863 | Chris Johnson 073 996 6453 | Jacques Rhode 084 624 9074 | Lau Fullard 074 432 8610 | Charl du Preez 084 296 0551 | Casper Badenhorst 076 951 7962",
21,21,105000.0,2011 Volkswagen Polo Vivo 1.4 Trendline 5Dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2011-Volkswagen-Polo-Vivo-1.4-Trendline-5Dr-Western-Cape-Cape-Town/5425847/"">
Volkswagen Polo Vivo 1.4 Trendline 5Dr </a>",Volkswagen,Volkswagen Polo Vivo,153321.0,2011.0,silver,western cape,,,63.0,1.4,p,45.0,m,,177.0,6.2,726.0,147.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1061.0,,,"Estimated monthly payment is R 2 150 over 60 months with a 10% deposit of R 10 500
at a rate of 13% (PRIME + 3%) -
Recalculate?",
22,22,105900.0,2017 Renault Kwid 1.0 Dynamique 5-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name vehicle-list__vehicle-name_featured"" href=""/for-sale/used/2017-Renault-Kwid-1.0-Dynamique-5-Door-Western-Cape-George/5298255/"">
Renault Kwid 1.0 Dynamique 5-Door </a>",Renault,Renault Kwid,48000.0,2017.0,pepper dust,western cape,,,50.0,1.0,p,28.0,m,,152.0,4.7,596.0,112.0,False,False,False,True,False,1.0,True,True,5.0,5.0,695.0,,,Balance of factory warranty.Driver side airbag.Nationwide delivery.Finance can be arranged.Trade-inns welcome.,
23,23,107950.0,2012 Toyota Etios 1.5 Xs 5dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2012-Toyota-Etios-1.5-Xs-5dr-Western-Cape-Plumstead/5372193/"">
Toyota Etios 1.5 Xs 5dr </a>",Toyota,Toyota Etios,79000.0,2012.0,silver blue ,western cape,,,66.0,1.5,p,45.0,m,,165.0,6.0,750.0,138.0,True,True,False,True,True,2.0,False,True,5.0,5.0,920.0,,,Low kms Full service history with toyota,
24,24,109900.0,2013 Volkswagen Polo Vivo 1.4 5Dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2013-Volkswagen-Polo-Vivo-1.4-5Dr-Western-Cape-Cape-Town/5119381/"">
Volkswagen Polo Vivo 1.4 5Dr </a>",Volkswagen,Volkswagen Polo Vivo,114289.0,2013.0,silver,western cape,,,55.0,1.4,p,45.0,m,,171.0,6.2,726.0,147.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1049.0,,,"Estimated monthly payment is R 2 250 over 60 months with a 10% deposit of R 10 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
25,25,109900.0,2017 Suzuki Celerio 1.0 GA for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2017-Suzuki-Celerio-1.0-GA-Western-Cape-Knysna/5131039/"">
Suzuki Celerio 1.0 GA </a>",Suzuki,Suzuki Celerio,48200.0,2017.0,silver,western cape,,,50.0,1.0,p,35.0,m,,155.0,4.7,745.0,110.0,True,True,False,True,True,2.0,False,True,5.0,5.0,835.0,,,"* 48,200 Km* Air Conditioning * Multimedia Player* Power Steering* Balance of Suzuki Factory Warranty - 3 Year / 100,000 km",
26,26,109900.0,2011 Volkswagen Golf Vi 1.4 Tsi Comfortline for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2011-Volkswagen-Golf-Vi-1.4-Tsi-Comfortline-Western-Cape-Milnerton/5141021/"">
Volkswagen Golf Vi 1.4 Tsi Comfortline </a>",Volkswagen,Volkswagen Golf,200805.0,2011.0,silver,western cape,,,90.0,1.4,p,55.0,m,,200.0,6.2,887.0,144.0,True,True,True,True,True,7.0,False,True,5.0,5.0,1290.0,,,"Estimated monthly payment is R 2 250 over 60 months with a 10% deposit of R 10 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
27,27,109900.0,2012 Peugeot 308 1.6 Premium for sale in Western Cape,"<a class=""vehicle-list__vehicle-name vehicle-list__vehicle-name_featured"" href=""/for-sale/used/2012-Peugeot-308-1.6-Premium-Western-Cape-Kuils-River/5141311/"">
Peugeot 308 1.6 Premium </a>",Peugeot,Peugeot 308,104481.0,2012.0,grey,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"At WINGFIELD MOTORS our customers is king!Before delivery, this vehicle will receive a Multi-point quality inspection before being subjected to an AA DEKRA roadworthiness test. We will trade in any vehicle on this transaction and ensure you receive a pleasant buying experience. Finance and Insurance can be arranged from our premises by our highly qualified and experienced staff. You can be assured of great aftersales service, should this be required. This vehicle can be delivered country wide at an agreed cost. Please ask about our optional mechanical breakdown insurance for your new vehicle. We also provide optional service plans to ensure you do not experience sudden servicing costs.Submit an enquiry on this vehicle NOW !!",
28,28,109900.0,2013 Peugeot 207 1.4 Vvt Active for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2013-Peugeot-207-1.4-Vvt-Active-Western-Cape-George/5189963/"">
Peugeot 207 1.4 Vvt Active </a>",Peugeot,Peugeot 207,80000.0,2013.0,silver,western cape,,,70.0,1.4,p,50.0,m,,185.0,5.8,862.0,135.0,True,True,True,True,True,4.0,False,True,5.0,5.0,1157.0,,,"JUST ARRIVE!!!Carpointe- At Tavcor George we believe in first class customer service. All our Vehicles undergo a 80 Point Mechanical Check, AA Roadworthy Test and is Accident free unless advertised as otherwise. We do accept trade-ins of all Makes and Models. We have dedicated Finance Managers that can arrange finance for you should you want to finance the vehicle. We also offer Value Added Products like Service and Warranty Plan Extensions. We deliver Nationwide and charge a delivery fee depending on the distance of delivery. Price advertised excludes: Dealer Service Fee of R4000, Lic /Reg of R781, Number plates of R400. The Vehicle you see Today and want to inquire about Tomorrow, might be inquired about Today and be gone Tomorrow!!",
29,29,109900.0,2017 TATA Bolt 1.2T XT 5-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2017-TATA-Bolt-1.2T-XT-5-Door-Western-Cape-Diep-River/5302357/"">
TATA Bolt 1.2T XT 5-Door </a>",TATA,TATA Bolt,34825.0,2017.0,sky grey tat747,western cape,,,66.0,1.2,p,44.0,m,,,6.5,677.0,154.0,True,True,False,True,True,2.0,True,True,5.0,5.0,1125.0,,,"Estimated monthly payment is R 2 250 over 60 months with a 10% deposit of R 10 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
30,30,109900.0,2018 Suzuki Celerio 1.0 GA for sale in Western Cape,"<a class=""vehicle-list__vehicle-name vehicle-list__vehicle-name_featured"" href=""/for-sale/used/2018-Suzuki-Celerio-1.0-GA-Western-Cape-Cape-Town/5329509/"">
Suzuki Celerio 1.0 GA </a>",Suzuki,Suzuki Celerio,30602.0,2018.0,silver,western cape,,,50.0,1.0,p,35.0,m,,155.0,4.7,745.0,110.0,True,True,False,True,True,2.0,False,True,5.0,5.0,835.0,,,"AVAILABLE AT WYNBERG-CAPE TOWN: Features: 50 kw and 90 nm 1.0lt 3 cylinder, engine 5spd man gearbox, Low Fuel consumption, Air conditioner, Power steering, multi-function steering wheel, radio MP3 player, Front Airbags and immobiliser. Balance of 3 year /100 000 factory warranty. AVAILABLE AT WYNBERG-CAPE TOWN: Features: 50 kw and 90 nm 1.0lt 3 cylinder, engine 5spd man gearbox, Low Fuel consumption, Air conditioner, Power steering, multi-function steering wheel, radio MP3 player, Front Airbags and immobiliser. Balance of 3 year /100 000 factory warranty.",
31,31,109900.0,2014 Renault Sandero 900 T Dynamique for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2014-Renault-Sandero-900-T-Dynamique-Western-Cape-Claremont/5350373/"">
Renault Sandero 900 T Dynamique </a>",Renault,Renault Sandero,68000.0,2014.0,black,western cape,,,66.0,0.9,p,50.0,m,,175.0,5.2,962.0,119.0,True,True,True,True,True,4.0,True,True,5.0,5.0,962.0,,,,
32,32,109900.0,2015 Nissan Micra 1.2 Visia+ Insync 5dr (d86v) for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2015-Nissan-Micra-1.2-Visia-Insync-5dr-d86v-Western-Cape-Bellville/5376007/"">
Nissan Micra 1.2 Visia+ Insync 5dr (d86v) </a>",Nissan,Nissan Micra,40000.0,2015.0,silver,western cape,,,56.0,1.2,p,41.0,m,,166.0,5.2,789.0,124.0,True,True,True,True,True,4.0,False,True,5.0,5.0,909.0,,,"Estimated monthly payment is R 2 250 over 60 months with a 10% deposit of R 10 990
at a rate of 13% (PRIME + 3%) -
Recalculate?",
33,33,109900.0,2017 Renault Kwid 1.0 Expression 5-Door for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2017-Renault-Kwid-1.0-Expression-5-Door-Western-Cape-Somerset-West/5379437/"">
Renault Kwid 1.0 Expression 5-Door </a>",Renault,Renault Kwid,20700.0,2017.0,silver,western cape,,,50.0,1.0,p,28.0,m,,152.0,4.7,596.0,112.0,False,False,False,True,False,1.0,True,True,5.0,5.0,693.0,,,Peace of mind with a ROLA certified mechanical check / Nationwide delivery / Finance Available / Trade-ins welcome / Price excludes Service and Delivery Fees,
34,34,109900.0,2016 Chevrolet Spark 1.2 Ls 5dr for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2016-Chevrolet-Spark-1.2-Ls-5dr-Western-Cape-Paarl/5413667/"">
Chevrolet Spark 1.2 Ls 5dr </a>",Chevrolet,Chevrolet Spark,69200.0,2016.0,silver ,western cape,,,60.0,1.2,p,35.0,m,,164.0,5.4,648.0,129.0,True,True,False,True,True,2.0,True,True,5.0,4.0,970.0,,,"Balance of Factory Warranty, Service History, Aircon, Power Steering, Electric Windows + Mirrors, Radio/CD/Auc/USB, Central Locking, Bluetooth, Low Mileage. Finance available and trade ins welcome. For more information, Contact: Jerome 082 3999 095 or Pieter 082 577 1761. Visit our website for more quality pre-owned vehicles at www.autodrome.co.za or follow us on Facebook https://www.facebook.com/AutodromePaarlWC/ Private to private finance also available at our dealership. For any queries regarding private finance, Contact: Juanita 021 872 9554.",
35,35,109900.0,2010 MINI Cooper for sale in Western Cape,"<a class=""vehicle-list__vehicle-name"" href=""/for-sale/used/2010-MINI-Cooper-Western-Cape-Claremont/5420955/"">
MINI Cooper </a>",MINI,MINI Cooper,67000.0,2010.0,silver,western cape,,,,,p,,m,,,,,,False,False,False,False,False,,False,False,,,,,,"Contact Kent Charters on-Cell- 079 899 2793 OrEmail- kent.charters@auricauto.co.zaPlease feel free to contact me via email or on my cell to view and book your test drive.Trade-in’s welcome. *Price excluding Administration and Licencing Fees.Price R 109 900.00Thank you for your time,Look forward to hearing from you.",
